# Wavelength Correction_Factor
3.973559999999999945e+02 4.374091282468937969e+00
3.975670000000000073e+02 4.342949078870804058e+00
3.977789999999999964e+02 4.303695963002213354e+00
3.979900000000000091e+02 4.248096475401260008e+00
3.982019999999999982e+02 4.273109421254416951e+00
3.984130000000000109e+02 4.257772186449929386e+00
3.986250000000000000e+02 4.237695848903725526e+00
3.988360000000000127e+02 4.208201675901846350e+00
3.990470000000000255e+02 4.167533317982641705e+00
3.992590000000000146e+02 4.149226987067327954e+00
3.994700000000000273e+02 4.106194483269552720e+00
3.996820000000000164e+02 4.067339590363878266e+00
3.998929999999999723e+02 4.059516245658215894e+00
4.001050000000000182e+02 4.040293720320597970e+00
4.003159999999999741e+02 4.025497543482208229e+00
4.005269999999999868e+02 4.008764490812825265e+00
4.007389999999999759e+02 3.970714965427498022e+00
4.009499999999999886e+02 3.971816363292909102e+00
4.011610000000000014e+02 3.966099793151196540e+00
4.013729999999999905e+02 3.952857671139236029e+00
4.015840000000000032e+02 3.922099167260673980e+00
4.017950000000000159e+02 3.900672462543642194e+00
4.020070000000000050e+02 3.878788831685666239e+00
4.022180000000000177e+02 3.870541806455398692e+00
4.024289999999999736e+02 3.848681508626977887e+00
4.026399999999999864e+02 3.844985679566605974e+00
4.028519999999999754e+02 3.852782069582463276e+00
4.030629999999999882e+02 3.836930392686194846e+00
4.032740000000000009e+02 3.828585196319600037e+00
4.034850000000000136e+02 3.828064173881704946e+00
4.036970000000000027e+02 3.801460071770568216e+00
4.039080000000000155e+02 3.817905697335227888e+00
4.041190000000000282e+02 3.794454565015028091e+00
4.043299999999999841e+02 3.808916825633488656e+00
4.045409999999999968e+02 3.788366513368870869e+00
4.047529999999999859e+02 3.775478506755679753e+00
4.049639999999999986e+02 3.792374689006533739e+00
4.051750000000000114e+02 3.807767211845343613e+00
4.053860000000000241e+02 3.788720582142560911e+00
4.055969999999999800e+02 3.779226942350180529e+00
4.058079999999999927e+02 3.750880135012889749e+00
4.060190000000000055e+02 3.713899448747062237e+00
4.062300000000000182e+02 3.704856149431170920e+00
4.064420000000000073e+02 3.692323905334643719e+00
4.066530000000000200e+02 3.692426758482693305e+00
4.068639999999999759e+02 3.672810027802538180e+00
4.070749999999999886e+02 3.633155281760261701e+00
4.072860000000000014e+02 3.618980864099037298e+00
4.074970000000000141e+02 3.619633858397630632e+00
4.077080000000000268e+02 3.606772056142506955e+00
4.079189999999999827e+02 3.594247636357500664e+00
4.081299999999999955e+02 3.573165871821546435e+00
4.083410000000000082e+02 3.559891743387471497e+00
4.085520000000000209e+02 3.541657684171097387e+00
4.087629999999999768e+02 3.534342430996135320e+00
4.089739999999999895e+02 3.525916572881564903e+00
4.091850000000000023e+02 3.523555866452215746e+00
4.093960000000000150e+02 3.506005374383057038e+00
4.096070000000000277e+02 3.501581623744038474e+00
4.098179999999999836e+02 3.496072271268842346e+00
4.100289999999999964e+02 3.483863469034086613e+00
4.102389999999999759e+02 3.483484067021128450e+00
4.104499999999999886e+02 3.473043596244057785e+00
4.106610000000000014e+02 3.440969280987503875e+00
4.108720000000000141e+02 3.437182574149276970e+00
4.110830000000000268e+02 3.416640372710631368e+00
4.112939999999999827e+02 3.405771422724423569e+00
4.115049999999999955e+02 3.389391245823492493e+00
4.117149999999999750e+02 3.383645601910534761e+00
4.119259999999999877e+02 3.375062489647858044e+00
4.121370000000000005e+02 3.356345718110867793e+00
4.123480000000000132e+02 3.350719849703129416e+00
4.125590000000000259e+02 3.340793228811116400e+00
4.127699999999999818e+02 3.335313017873431818e+00
4.129800000000000182e+02 3.325129730469000844e+00
4.131909999999999741e+02 3.321594207536684884e+00
4.134019999999999868e+02 3.305698940485740422e+00
4.136129999999999995e+02 3.281434125963822002e+00
4.138229999999999791e+02 3.265558881083579390e+00
4.140339999999999918e+02 3.249006740621066758e+00
4.142450000000000045e+02 3.229382921861522870e+00
4.144549999999999841e+02 3.224178774081412513e+00
4.146659999999999968e+02 3.201139148323340677e+00
4.148770000000000095e+02 3.183810675244664878e+00
4.150869999999999891e+02 3.168438737158114638e+00
4.152980000000000018e+02 3.166369385106536871e+00
4.155090000000000146e+02 3.165250508114424655e+00
4.157189999999999941e+02 3.145892297516356795e+00
4.159300000000000068e+02 3.131691805598946665e+00
4.161410000000000196e+02 3.116043960947477487e+00
4.163509999999999991e+02 3.097737748864410889e+00
4.165620000000000118e+02 3.086673707253680288e+00
4.167719999999999914e+02 3.072561585779150395e+00
4.169830000000000041e+02 3.062707543002500366e+00
4.171940000000000168e+02 3.042941297078831653e+00
4.174039999999999964e+02 3.026373432575172995e+00
4.176150000000000091e+02 3.009959791593240119e+00
4.178249999999999886e+02 3.013799573094913420e+00
4.180360000000000014e+02 2.995378610946829223e+00
4.182459999999999809e+02 2.986487282719572978e+00
4.184569999999999936e+02 2.982075395084567759e+00
4.186669999999999732e+02 2.974177334990621979e+00
4.188779999999999859e+02 2.967713163381755948e+00
4.190880000000000223e+02 2.960412434007804183e+00
4.192989999999999782e+02 2.958965525902946148e+00
4.195090000000000146e+02 2.957940143759245188e+00
4.197200000000000273e+02 2.949275660527350684e+00
4.199300000000000068e+02 2.928628050553088613e+00
4.201410000000000196e+02 2.929201892067822666e+00
4.203509999999999991e+02 2.918639200377556087e+00
4.205609999999999786e+02 2.914001729306344046e+00
4.207719999999999914e+02 2.900076267062536406e+00
4.209820000000000277e+02 2.880348547415522376e+00
4.211929999999999836e+02 2.867662388166804188e+00
4.214030000000000200e+02 2.859569234149461181e+00
4.216129999999999995e+02 2.852400405732111732e+00
4.218240000000000123e+02 2.843438737708971153e+00
4.220339999999999918e+02 2.827519371129302073e+00
4.222440000000000282e+02 2.816472172723993417e+00
4.224549999999999841e+02 2.808629753478783631e+00
4.226650000000000205e+02 2.790748404758411905e+00
4.228750000000000000e+02 2.776286524323391625e+00
4.230849999999999795e+02 2.757660085776380665e+00
4.232959999999999923e+02 2.736121478756872616e+00
4.235059999999999718e+02 2.728164040558235914e+00
4.237160000000000082e+02 2.713570038043141786e+00
4.239259999999999877e+02 2.703301897812788290e+00
4.241370000000000005e+02 2.693338078648480405e+00
4.243469999999999800e+02 2.687461364066153546e+00
4.245570000000000164e+02 2.687345811374289628e+00
4.247669999999999959e+02 2.680177148231515982e+00
4.249780000000000086e+02 2.673550755676745716e+00
4.251879999999999882e+02 2.662227768498866887e+00
4.253980000000000246e+02 2.657931854749041367e+00
4.256080000000000041e+02 2.658483359528327483e+00
4.258179999999999836e+02 2.648540723848017198e+00
4.260280000000000200e+02 2.634550103122951903e+00
4.262379999999999995e+02 2.620072444435816550e+00
4.264490000000000123e+02 2.606520348789879815e+00
4.266589999999999918e+02 2.604252179084765029e+00
4.268690000000000282e+02 2.591478053216653255e+00
4.270790000000000077e+02 2.581613384717082571e+00
4.272889999999999873e+02 2.575043616577849637e+00
4.274990000000000236e+02 2.575668208650814250e+00
4.277090000000000032e+02 2.564921841426046178e+00
4.279189999999999827e+02 2.560042418888196725e+00
4.281290000000000191e+02 2.546259772644305475e+00
4.283389999999999986e+02 2.542014245279084150e+00
4.285489999999999782e+02 2.528852300035007605e+00
4.287590000000000146e+02 2.527908270007422242e+00
4.289689999999999941e+02 2.518587643525411757e+00
4.291789999999999736e+02 2.516100100344169643e+00
4.293890000000000100e+02 2.504583335530975230e+00
4.295989999999999895e+02 2.497928138833789724e+00
4.298090000000000259e+02 2.489861924451209241e+00
4.300190000000000055e+02 2.485741618205313586e+00
4.302289999999999850e+02 2.477106555028024015e+00
4.304390000000000214e+02 2.463513291980964137e+00
4.306490000000000009e+02 2.457314883562843111e+00
4.308589999999999804e+02 2.444002551271608592e+00
4.310679999999999836e+02 2.432009296032391799e+00
4.312780000000000200e+02 2.412329806105140140e+00
4.314879999999999995e+02 2.404477222961627803e+00
4.316979999999999791e+02 2.396315483273818270e+00
4.319080000000000155e+02 2.387719006588302495e+00
4.321179999999999950e+02 2.376140674932823327e+00
4.323279999999999745e+02 2.361112348642546266e+00
4.325369999999999777e+02 2.344693370271016430e+00
4.327470000000000141e+02 2.336511163221205223e+00
4.329569999999999936e+02 2.324755246804405928e+00
4.331669999999999732e+02 2.308463731355800963e+00
4.333770000000000095e+02 2.299348893964278773e+00
4.335860000000000127e+02 2.281922134090090371e+00
4.337959999999999923e+02 2.272586007963374399e+00
4.340059999999999718e+02 2.258584379002456011e+00
4.342160000000000082e+02 2.243546813115493421e+00
4.344250000000000114e+02 2.231015119760956900e+00
4.346349999999999909e+02 2.217560545316666243e+00
4.348450000000000273e+02 2.209137173136156207e+00
4.350539999999999736e+02 2.195390095500465488e+00
4.352640000000000100e+02 2.182870894062002520e+00
4.354739999999999895e+02 2.169316456270878213e+00
4.356829999999999927e+02 2.156453742291930986e+00
4.358929999999999723e+02 2.145621403130728133e+00
4.361030000000000086e+02 2.135053352759552769e+00
4.363120000000000118e+02 2.125224589556364396e+00
4.365219999999999914e+02 2.121641058734049068e+00
4.367309999999999945e+02 2.117945852973474263e+00
4.369409999999999741e+02 2.107532090272156378e+00
4.371510000000000105e+02 2.106598950769584366e+00
4.373600000000000136e+02 2.097818249071475627e+00
4.375699999999999932e+02 2.094289215209959032e+00
4.377789999999999964e+02 2.091146025096718652e+00
4.379889999999999759e+02 2.089094482206319103e+00
4.381979999999999791e+02 2.083543558489490355e+00
4.384080000000000155e+02 2.082257810570217416e+00
4.386170000000000186e+02 2.076539100248426806e+00
4.388269999999999982e+02 2.077091590581781055e+00
4.390360000000000014e+02 2.070105851376822681e+00
4.392459999999999809e+02 2.072344765500226060e+00
4.394549999999999841e+02 2.074776323626120522e+00
4.396650000000000205e+02 2.071551157958796630e+00
4.398740000000000236e+02 2.069579281781332991e+00
4.400840000000000032e+02 2.072808407313219803e+00
4.402930000000000064e+02 2.073231467408564122e+00
4.405029999999999859e+02 2.072068103671703909e+00
4.407119999999999891e+02 2.070618207789538978e+00
4.409209999999999923e+02 2.067112126197408806e+00
4.411309999999999718e+02 2.062185858794972404e+00
4.413399999999999750e+02 2.063349708685744410e+00
4.415489999999999782e+02 2.062567823367272180e+00
4.417590000000000146e+02 2.063937092395615736e+00
4.419680000000000177e+02 2.065341083557001856e+00
4.421770000000000209e+02 2.063839973702426889e+00
4.423870000000000005e+02 2.061455776095366677e+00
4.425960000000000036e+02 2.057745086622782882e+00
4.428050000000000068e+02 2.053176503046156842e+00
4.430149999999999864e+02 2.048184755450850769e+00
4.432239999999999895e+02 2.048912950112442122e+00
4.434329999999999927e+02 2.040942718386276500e+00
4.436419999999999959e+02 2.034498934704052520e+00
4.438519999999999754e+02 2.029103712560855310e+00
4.440609999999999786e+02 2.022045158514302443e+00
4.442699999999999818e+02 2.019905953221723838e+00
4.444789999999999850e+02 2.013119346632445517e+00
4.446890000000000214e+02 2.009235440653907467e+00
4.448980000000000246e+02 2.006049791280842598e+00
4.451070000000000277e+02 1.998442742206609557e+00
4.453159999999999741e+02 1.993068017910728518e+00
4.455249999999999773e+02 1.987706400304525056e+00
4.457339999999999804e+02 1.983560288395377569e+00
4.459440000000000168e+02 1.978145236271318774e+00
4.461530000000000200e+02 1.973902900326407028e+00
4.463620000000000232e+02 1.975077016305626820e+00
4.465710000000000264e+02 1.973458367557107129e+00
4.467799999999999727e+02 1.969133280861208535e+00
4.469889999999999759e+02 1.964397618807262491e+00
4.471979999999999791e+02 1.957468810614920063e+00
4.474069999999999823e+02 1.954061157982992736e+00
4.476159999999999854e+02 1.953204273306486494e+00
4.478249999999999886e+02 1.949690753012827127e+00
4.480339999999999918e+02 1.946696970243405600e+00
4.482429999999999950e+02 1.944700850467368625e+00
4.484519999999999982e+02 1.939694191974290716e+00
4.486610000000000014e+02 1.932534304431912542e+00
4.488700000000000045e+02 1.928414535642503091e+00
4.490790000000000077e+02 1.922265484669624547e+00
4.492880000000000109e+02 1.919625518242578988e+00
4.494970000000000141e+02 1.910805168876354543e+00
4.497060000000000173e+02 1.909428902978181464e+00
4.499150000000000205e+02 1.904816458361048293e+00
4.501240000000000236e+02 1.899222731441288392e+00
4.503330000000000268e+02 1.895070475425291834e+00
4.505419999999999732e+02 1.889718796474941787e+00
4.507509999999999764e+02 1.886795178114624827e+00
4.509599999999999795e+02 1.883284513137520877e+00
4.511689999999999827e+02 1.877770091062819224e+00
4.513770000000000095e+02 1.872726717691573173e+00
4.515860000000000127e+02 1.869232545985411775e+00
4.517950000000000159e+02 1.869289498146229800e+00
4.520040000000000191e+02 1.863516933612728854e+00
4.522130000000000223e+02 1.859707929712875352e+00
4.524220000000000255e+02 1.854618080177296680e+00
4.526299999999999955e+02 1.850094374092285054e+00
4.528389999999999986e+02 1.841946297334498439e+00
4.530480000000000018e+02 1.836138866914178935e+00
4.532570000000000050e+02 1.832868119372184079e+00
4.534649999999999750e+02 1.828767437122100770e+00
4.536739999999999782e+02 1.826146283504705536e+00
4.538829999999999814e+02 1.820802845723215491e+00
4.540919999999999845e+02 1.816681470556739786e+00
4.543000000000000114e+02 1.812379901715589936e+00
4.545090000000000146e+02 1.805200040059302680e+00
4.547180000000000177e+02 1.802475270360748727e+00
4.549259999999999877e+02 1.795668906741773041e+00
4.551349999999999909e+02 1.790020830329851709e+00
4.553439999999999941e+02 1.784157517116888858e+00
4.555520000000000209e+02 1.778557329859643543e+00
4.557610000000000241e+02 1.774899036701612864e+00
4.559700000000000273e+02 1.770299849630077915e+00
4.561779999999999973e+02 1.766739345268246275e+00
4.563870000000000005e+02 1.762524171275959839e+00
4.565950000000000273e+02 1.758468148224512140e+00
4.568039999999999736e+02 1.754289106076442062e+00
4.570129999999999768e+02 1.749102106193624273e+00
4.572210000000000036e+02 1.744072518443376518e+00
4.574300000000000068e+02 1.740346577256577376e+00
4.576379999999999768e+02 1.735228250650722170e+00
4.578469999999999800e+02 1.732836163352809766e+00
4.580550000000000068e+02 1.727512983291082715e+00
4.582640000000000100e+02 1.724698581019216581e+00
4.584719999999999800e+02 1.720046837817780894e+00
4.586809999999999832e+02 1.714165321480751292e+00
4.588890000000000100e+02 1.707738146880372732e+00
4.590980000000000132e+02 1.701130703854516257e+00
4.593059999999999832e+02 1.696578148506401540e+00
4.595149999999999864e+02 1.690776858005341721e+00
4.597230000000000132e+02 1.685995044127621689e+00
4.599309999999999832e+02 1.679338823909171330e+00
4.601399999999999864e+02 1.677753024224805767e+00
4.603480000000000132e+02 1.672960880236422199e+00
4.605570000000000164e+02 1.667384268051327778e+00
4.607649999999999864e+02 1.662123260544731806e+00
4.609730000000000132e+02 1.660394379338674620e+00
4.611820000000000164e+02 1.656844551533523058e+00
4.613899999999999864e+02 1.650280502257255533e+00
4.615980000000000132e+02 1.645346481737399724e+00
4.618070000000000164e+02 1.640695894821590617e+00
4.620149999999999864e+02 1.635288444746855641e+00
4.622230000000000132e+02 1.632068933652234488e+00
4.624320000000000164e+02 1.626162842527220986e+00
4.626399999999999864e+02 1.621284511173127996e+00
4.628480000000000132e+02 1.616211081008427808e+00
4.630559999999999832e+02 1.611114068088543627e+00
4.632649999999999864e+02 1.603851532566749949e+00
4.634730000000000132e+02 1.598565387645103364e+00
4.636809999999999832e+02 1.594123823944236573e+00
4.638890000000000100e+02 1.589263646348578529e+00
4.640980000000000132e+02 1.582453926912687603e+00
4.643059999999999832e+02 1.576081322775246818e+00
4.645140000000000100e+02 1.570863380813391608e+00
4.647219999999999800e+02 1.562813560433065518e+00
4.649300000000000068e+02 1.555760767046987514e+00
4.651379999999999768e+02 1.549928339655080700e+00
4.653460000000000036e+02 1.542521943746602453e+00
4.655550000000000068e+02 1.536375773751313067e+00
4.657629999999999768e+02 1.531231891596793293e+00
4.659710000000000036e+02 1.524758288345051227e+00
4.661789999999999736e+02 1.516747945688852184e+00
4.663870000000000005e+02 1.509422756351473494e+00
4.665950000000000273e+02 1.502494964956051948e+00
4.668029999999999973e+02 1.495741116558808148e+00
4.670110000000000241e+02 1.490547222692943041e+00
4.672189999999999941e+02 1.483312850524197257e+00
4.674270000000000209e+02 1.477134205465704619e+00
4.676349999999999909e+02 1.470214562301567440e+00
4.678430000000000177e+02 1.463619467274837049e+00
4.680509999999999877e+02 1.458506549738421754e+00
4.682590000000000146e+02 1.452504853882827129e+00
4.684669999999999845e+02 1.447540434016750810e+00
4.686750000000000114e+02 1.441089225882785207e+00
4.688829999999999814e+02 1.433988495209323588e+00
4.690910000000000082e+02 1.425981160960108074e+00
4.692989999999999782e+02 1.419401430400452968e+00
4.695070000000000050e+02 1.412919306081432680e+00
4.697149999999999750e+02 1.405221660599591083e+00
4.699230000000000018e+02 1.399672210815967599e+00
4.701309999999999718e+02 1.392815787604347433e+00
4.703380000000000223e+02 1.385838160588666490e+00
4.705459999999999923e+02 1.380053705363180061e+00
4.707540000000000191e+02 1.373219125319863121e+00
4.709619999999999891e+02 1.366024466993948971e+00
4.711700000000000159e+02 1.359120327651369031e+00
4.713779999999999859e+02 1.352125782537325627e+00
4.715849999999999795e+02 1.344636678891659720e+00
4.717930000000000064e+02 1.338006727530042239e+00
4.720009999999999764e+02 1.330550242046242504e+00
4.722090000000000032e+02 1.323742568462890068e+00
